"id","question","r1","r2","r3","r4","br"
"22","Qui a dit 'I have a dream'?","Martin Luther King","Fidel Casrto","Nelson Mandela","John Fitzgerald Kennedy","r1"
"23","Qui a dit 'Ich bin ein Berliner' ?","Adolf Hitler","Staline","Charles de Gaule","John Fitzgerald Kennedy","r4"
"24","En quelle année Christophe Colomb a découvert l'Amérique ?","1325","1475","1492","1399","r3"
"25","Combien de temps a duré la guerre de 100 ans ?","116 ans ","100 ans","110 ans","120 ans","r1"
"26","Qui était le roi soleil?","Louis XI","Louis XIV","Louis XVI","Louis XVII","r2"
"27","Qu'est-ce que l'émétophobie  ?","La peur de se blesser","La peur d'avoir peur","La peur de vomir","La peur du sang","r3"
"28"," Quelle est la superficie d'un hectare ?","10'000 m2","5'000 m2","1'000 m2","100 m2","r1"
"29"," Combien de mètres carrés font un hectare ?","100 m2","1'000 m2","5'000 m2","10'000 m2","r4"
"30","Quel est le subjonctif present du verbe feindre, à la deuxieme prersonne du singulier ?","Que tu faignasses","Que tu faignassi","Que tu feint","Que tu feignes","r4"
"31","'Le radeau de la méduse' est un tableau de ?","Picasso","Rembrandt","Gericault","Lacroix","r3"
"32","Quelle est la température en degrés celsius du zero absolu ?","0","-273","-100","-195","r2"
"33","Combien de pays sont menbres de l'ONU","172","215","245","193","r4"
"34","Quelle est la date de la prise de la Bastille","14 juillet 1789","6 juin 1740","1 mai 1746","11 novembre 1745","r1"
"35","Depuis quelle année les femmes Suisses ont le droit de vote ?","1985","1975","1968","1971","r4"
"36","'Le bon la brute et le truand' est un film de ?","Steven Spielberg","Segio Leone","Quentin Tarantino","Clint Eastwood","r2"
"37","En quelle année Christophe Colomb a-t-il découvert l'Amérique ?","1325","1475","1492","1399","r3"
"38","Comment était appelée Paris au temps des romains ?","Paris","Lutèce","Rodium","Péplum","r2"
"39","Hauteur des chutes du Niagara ?","33 m","48 m","57 m","65 m","r3"
"40","Hauteur du mont Everest ?","8848 m","8756 m","8932 m","8546 m","r1"
"41","Profondeur de la fosse des Mariannes ?","-8848 m","-9458 m","-10 971 m","-11 456 m","r3"
"42","Qu’a inventé Alfred Nobel, en plus du prix du même nom ?","La dynamite","L’automobile","La calculatrice","Le magnétoscope","r1"
"43","Avec les oeufs de quel poisson fait-on du caviar ?","Le saumon","Le thon rouge","L’esturgeon","Le brochet","r3"
"44","Dans quel sport le but fait-il 1.22 mètre de haut ?","Au Football","Au Hockey sur glace","Au Handball","Au Water Polo","r2"
"45","Quel était le prénom du fondateur de la marque Ferrari ?","Flavio","Enrico","Fabrizio","Enzo","r4"
"46","Quel est la monnaie du Vietnam ?","Le bông","Le công","Le dông","Le gông","r3"
"47","Quel est le poids moyen d’un cerveau humain ?","800 g","1 kg","1,2 kg","1,4 kg","r4"
"48","Quel est le point culminant du massif du Jura ?","Le Crêt de la Neige","Le mont Tendre","Le mont Joli","La Dôle","r1"
"49","En quelle année le mur de Berlin a été construit ?","1960","1961","1962","1963","r2"
"50","Quelle utilisation fait-on de la fourrure des martres ?","Des manteaux","Des semelles de chaussures","Des pinceaux","De l’isolation de toiture","r3"
"51","Quelle a été la première femme élue à la présidence de la Confédération helvétique ?","Ruth Dreifuss","Eveline Widmer-Schlumpf","Doris Leuthard","Micheline Calmy-Rey","r1"
"52","Quel évènement de 1602 est fêté chaque année à Genève ?","Les fêtes de Genève","L’Escalade","La Fête Nationale","L’Épiphanie","r2"
"53","Quel alcool produit-on à partir de la canne à sucre ?","La Vodka","La Bière","Le Pastis","Le Rhum","r4"
"54","Où mange-t-on la longeole ?","À Genève","À Fribourg","À Lausanne","À Sion","r1"
"55","Combien de convives y avait-il lors de la Cène ?","12","13","14","15","r2"
"56","Comment s’appelle le serpent du Livre de la Jungle ?","Kâh","Cas","Kaa","Jean-Patrick Serpentin","r3"
"57","Lequel de ces monument ne fait pas parti des 7 merveilles du monde ?","Les jardin suspendus de Babylone","Les Pyramides de Gizeh","Le Phare d’Alexandrie","La Tour Eiffel","r4"
"58","Quel est le plus grand poisson connu ?","Le requin blanc","Le thon rouge","Le requin baleine","L’espadon","r3"
"59","Depuis quand l’école est-elle obligatoire en Suisse ?","1674","1774","1874","1974","r3"
"60","Le corail est...","Un minéral","Un végétal","Un animal","Aucun des trois","r3"
"61","Quand l’homme a-t-il domestiqué le chien ?","Il y a 140 ans","Il y a 1’400 ans","Il y a 14’000 ans","Il y a 140’000 ans","r3"
"62","Qu’est-ce qu’un dragon volant ?","Un animal imaginaire","Un lézard","Un écureuil","Un dinosaure","r2"
"63","L’air qu’on respire est majoritairement composé de quel gaz ?","D’azote","D’oxygène","D’argon","De dioxyde de carbone (CO2)","r1"
"64","Quelle unité utilise-t-on pour mesurer une différence de potentiel électrique ?","L’ampère","Le farrad","L’ohm","Le volt","r4"
"65","De quoi ont peur les brontophobes ?","Du tonnerre","Des herbivores","Des grenouilles","Des dinosaures","r1"
"66","Quelle station de ski organise le Xtreme snowboard contest ?","Saas-Fee","Verbier","Leysin","Crans-Montana","r2"
"67","Quel était le surnom injuste des rois mérovingiens ?","Les rois illégitimes","Les rois maudits","Les rois minus","Les rois fainéants","r4"
"68","Qu’est-ce que le K2 ?","Une montagne","Un anorak","Une planche à voile","Une vallée d’Amérique Latine","r1"
"69","Quels instruments de musique pouvant peser plusieurs tonnes fabrique-t-on dans la fonderie de la Sarraz ?","Des orgues","Des cors de chasse en plomb","Des clavecin","Des cloches","r4"
"70","Quel animal brame ?","Le cerf","Le zèbre","L’okapi","Le gnou","r1"
"71","Que valent deux noires en solfège ?","Une ronde","Une croche","Une blanche","Une double croche","r3"
"72","Qu’est-ce que Chaplin appelait “ma dignité” ?","Son chapeau","Sa moustache","Sa canne","Sa voiture","r3"
"73","Quel canton inspira les paysages de Heidi ?","Tessin","Grison","Appenzell","Bâle-campagne","r2"
"74","Quel est le premier être vivant à avoir voyager dans l'espace ?","Un chat ","Un être humain","Un chien","Un rat","r2"
"75","Avec quel fruit fabrique-t-on le cidre ?","Pommes","Poires","Cerises","Fraises","r1"
"76","Dans Pim, Pam, Poum qui est Pim ?","Le frère","La soeur","La mère","La tante","r4"
"77","Qu’est-ce que le futsal ?","Un vent du nord","Du football en salle","Un poisson","Une rivière","r2"
"78","quel est le seul mammifère qui vole","Le pélican","Le pigeon","Le corbeau","La chauve-souris","r4"
